"serial","f","h","g","BF","father_serial","h0","H_min","last_H_min_update","f_max","node_max"
"42","3.0","3.0","6","10","18","4.0","3.0","30","4.0","2054"
"43","3.0","3.0","6","10","18","4.0","3.0","31","4.0","2054"
"44","3.0","3.0","6","10","18","4.0","3.0","32","4.0","2054"
"45","3.0","3.0","6","10","18","4.0","3.0","33","4.0","2054"
"46","3.0","3.0","6","10","19","4.0","3.0","34","4.0","2054"
"47","3.0","3.0","6","10","19","4.0","3.0","35","4.0","2054"
"48","3.0","3.0","6","10","19","4.0","3.0","36","4.0","2054"
"49","3.0","3.0","6","10","20","4.0","3.0","37","4.0","2054"
"50","3.0","3.0","6","10","20","4.0","3.0","38","4.0","2054"
"51","3.0","3.0","6","10","21","4.0","3.0","39","4.0","2054"
"52","3.0","3.0","6","10","22","4.0","3.0","40","4.0","2054"
"53","3.0","3.0","6","10","22","4.0","3.0","41","4.0","2054"
"54","3.0","3.0","6","10","22","4.0","3.0","42","4.0","2054"
"55","3.0","3.0","6","10","22","4.0","3.0","43","4.0","2054"
"56","3.0","3.0","6","10","23","4.0","3.0","44","4.0","2054"
"57","3.0","3.0","6","10","23","4.0","3.0","45","4.0","2054"
"58","3.0","3.0","6","10","24","4.0","3.0","46","4.0","2054"
"59","3.0","3.0","6","10","24","4.0","3.0","47","4.0","2054"
"60","3.0","3.0","6","10","24","4.0","3.0","48","4.0","2054"
"61","3.0","3.0","6","10","24","4.0","3.0","49","4.0","2054"
"62","3.0","3.0","6","10","24","4.0","3.0","50","4.0","2054"
"63","3.0","3.0","6","10","25","4.0","3.0","51","4.0","2054"
"64","3.0","3.0","6","10","25","4.0","3.0","52","4.0","2054"
"65","3.0","3.0","6","10","26","4.0","3.0","53","4.0","2054"
"66","3.0","3.0","6","10","27","4.0","3.0","54","4.0","2054"
"67","3.0","3.0","6","10","27","4.0","3.0","55","4.0","2054"
"68","3.0","3.0","6","10","27","4.0","3.0","56","4.0","2054"
"69","3.0","3.0","6","10","27","4.0","3.0","57","4.0","2054"
"70","3.0","3.0","6","10","28","4.0","3.0","58","4.0","2054"
"71","3.0","3.0","6","10","28","4.0","3.0","59","4.0","2054"
"72","3.0","3.0","6","10","28","4.0","3.0","60","4.0","2054"
"73","3.0","3.0","6","10","29","4.0","3.0","61","4.0","2054"
"74","3.0","3.0","6","10","30","4.0","3.0","62","4.0","2054"
"75","3.0","3.0","7","10","31","4.0","3.0","63","4.0","2054"
"76","3.0","3.0","7","10","31","4.0","3.0","64","4.0","2054"
"77","3.0","3.0","7","10","32","4.0","3.0","65","4.0","2054"
"78","3.0","3.0","7","10","32","4.0","3.0","66","4.0","2054"
"79","3.0","3.0","7","10","32","4.0","3.0","67","4.0","2054"
"80","3.0","3.0","7","10","32","4.0","3.0","68","4.0","2054"
"81","3.0","3.0","7","10","33","4.0","3.0","69","4.0","2054"
"82","3.0","3.0","7","10","33","4.0","3.0","70","4.0","2054"
"83","3.0","3.0","7","10","33","4.0","3.0","71","4.0","2054"
"84","3.0","3.0","7","10","34","4.0","3.0","72","4.0","2054"
"85","3.0","3.0","7","10","34","4.0","3.0","73","4.0","2054"
"86","3.0","3.0","7","10","35","4.0","3.0","74","4.0","2054"
"87","3.0","3.0","7","10","35","4.0","3.0","75","4.0","2054"
"88","3.0","3.0","7","10","35","4.0","3.0","76","4.0","2054"
"89","3.0","3.0","7","10","36","4.0","3.0","77","4.0","2054"
"90","3.0","3.0","7","10","36","4.0","3.0","78","4.0","2054"
"91","3.0","3.0","7","10","36","4.0","3.0","79","4.0","2054"
"92","3.0","3.0","7","10","36","4.0","3.0","80","4.0","2054"
"93","3.0","3.0","7","10","36","4.0","3.0","81","4.0","2054"
"94","3.0","3.0","7","10","37","4.0","3.0","82","4.0","2054"
"95","3.0","3.0","7","10","37","4.0","3.0","83","4.0","2054"
"96","3.0","3.0","7","10","37","4.0","3.0","84","4.0","2054"
"97","3.0","3.0","7","10","38","4.0","3.0","85","4.0","2054"
"98","3.0","3.0","7","10","38","4.0","3.0","86","4.0","2054"
"99","3.0","3.0","7","10","38","4.0","3.0","87","4.0","2054"
"100","3.0","3.0","7","10","39","4.0","3.0","88","4.0","2054"
"101","3.0","3.0","7","10","39","4.0","3.0","89","4.0","2054"
"102","3.0","3.0","7","10","40","4.0","3.0","90","4.0","2054"
"103","3.0","3.0","7","10","40","4.0","3.0","91","4.0","2054"
"104","3.0","3.0","7","10","40","4.0","3.0","92","4.0","2054"
"105","3.0","3.0","7","10","40","4.0","3.0","93","4.0","2054"
"106","3.0","3.0","7","10","40","4.0","3.0","94","4.0","2054"
"107","3.0","3.0","7","10","41","4.0","3.0","95","4.0","2054"
"108","3.0","3.0","7","10","41","4.0","3.0","96","4.0","2054"
"109","3.0","3.0","7","10","41","4.0","3.0","97","4.0","2054"
"110","3.0","3.0","7","10","41","4.0","3.0","98","4.0","2054"
"111","3.0","3.0","7","10","42","4.0","3.0","99","4.0","2054"
"112","3.0","3.0","7","10","42","4.0","3.0","100","4.0","2054"
"113","3.0","3.0","7","10","42","4.0","3.0","101","4.0","2054"
"114","3.0","3.0","7","10","43","4.0","3.0","102","4.0","2054"
"115","3.0","3.0","7","10","43","4.0","3.0","103","4.0","2054"
"116","3.0","3.0","7","10","43","4.0","3.0","104","4.0","2054"
"117","3.0","3.0","7","10","44","4.0","3.0","105","4.0","2054"
"118","3.0","3.0","7","10","44","4.0","3.0","106","4.0","2054"
"119","3.0","3.0","7","10","46","4.0","3.0","107","4.0","2054"
"120","3.0","3.0","7","10","47","4.0","3.0","108","4.0","2054"
"121","3.0","3.0","7","10","47","4.0","3.0","109","4.0","2054"
"122","3.0","3.0","7","10","48","4.0","3.0","110","4.0","2054"
"123","3.0","3.0","7","10","48","4.0","3.0","111","4.0","2054"
"124","3.0","3.0","7","10","50","4.0","3.0","112","4.0","2054"
"125","3.0","3.0","7","10","51","4.0","3.0","113","4.0","2054"
"126","3.0","3.0","7","10","52","4.0","3.0","114","4.0","2054"
"127","3.0","3.0","7","10","53","4.0","3.0","115","4.0","2054"
"128","3.0","3.0","7","10","53","4.0","3.0","116","4.0","2054"
"129","3.0","3.0","7","10","53","4.0","3.0","117","4.0","2054"
"130","3.0","3.0","7","10","53","4.0","3.0","118","4.0","2054"
"131","3.0","3.0","7","10","54","4.0","3.0","119","4.0","2054"
"132","3.0","3.0","7","10","54","4.0","3.0","120","4.0","2054"
"133","3.0","3.0","7","10","55","4.0","3.0","121","4.0","2054"
"134","3.0","3.0","7","10","55","4.0","3.0","122","4.0","2054"
"135","3.0","3.0","7","10","56","4.0","3.0","123","4.0","2054"
"136","3.0","3.0","7","10","56","4.0","3.0","124","4.0","2054"
"137","3.0","3.0","7","10","56","4.0","3.0","125","4.0","2054"
"138","3.0","3.0","7","10","56","4.0","3.0","126","4.0","2054"
"139","3.0","3.0","7","10","56","4.0","3.0","127","4.0","2054"
"140","3.0","3.0","7","10","57","4.0","3.0","128","4.0","2054"
"141","3.0","3.0","7","10","57","4.0","3.0","129","4.0","2054"
"142","3.0","3.0","7","10","57","4.0","3.0","130","4.0","2054"
"143","3.0","3.0","7","10","57","4.0","3.0","131","4.0","2054"
"144","3.0","3.0","7","10","58","4.0","3.0","132","4.0","2054"
"145","3.0","3.0","7","10","58","4.0","3.0","133","4.0","2054"
"146","3.0","3.0","7","10","59","4.0","3.0","134","4.0","2054"
"147","3.0","3.0","7","10","60","4.0","3.0","135","4.0","2054"
"148","3.0","3.0","7","10","60","4.0","3.0","136","4.0","2054"
"149","3.0","3.0","7","10","63","4.0","3.0","137","4.0","2054"
"150","3.0","3.0","7","10","64","4.0","3.0","138","4.0","2054"
"151","3.0","3.0","7","10","65","4.0","3.0","139","4.0","2054"
"152","3.0","3.0","7","10","66","4.0","3.0","140","4.0","2054"
"153","3.0","3.0","7","10","66","4.0","3.0","141","4.0","2054"
"154","3.0","3.0","7","10","66","4.0","3.0","142","4.0","2054"
"155","3.0","3.0","7","10","67","4.0","3.0","143","4.0","2054"
"156","3.0","3.0","7","10","67","4.0","3.0","144","4.0","2054"
"157","3.0","3.0","7","10","67","4.0","3.0","145","4.0","2054"
"158","3.0","3.0","7","10","68","4.0","3.0","146","4.0","2054"
"159","3.0","3.0","7","10","68","4.0","3.0","147","4.0","2054"
"160","3.0","3.0","7","10","68","4.0","3.0","148","4.0","2054"
"161","3.0","3.0","7","10","69","4.0","3.0","149","4.0","2054"
"162","3.0","3.0","7","10","71","4.0","3.0","150","4.0","2054"
"163","3.0","3.0","7","10","71","4.0","3.0","151","4.0","2054"
"164","3.0","3.0","7","10","73","4.0","3.0","152","4.0","2054"
"165","3.0","3.0","7","10","73","4.0","3.0","153","4.0","2054"
"166","3.0","3.0","7","10","73","4.0","3.0","154","4.0","2054"
"167","3.0","3.0","7","10","73","4.0","3.0","155","4.0","2054"
"168","3.0","3.0","8","10","75","4.0","3.0","156","4.0","2054"
"169","3.0","3.0","8","10","75","4.0","3.0","157","4.0","2054"
"170","3.0","3.0","8","10","76","4.0","3.0","158","4.0","2054"
"171","3.0","3.0","8","10","76","4.0","3.0","159","4.0","2054"
"172","3.0","3.0","8","10","76","4.0","3.0","160","4.0","2054"
"173","3.0","3.0","8","10","77","4.0","3.0","161","4.0","2054"
"174","3.0","3.0","8","10","77","4.0","3.0","162","4.0","2054"
"175","3.0","3.0","8","10","77","4.0","3.0","163","4.0","2054"
"176","3.0","3.0","8","10","77","4.0","3.0","164","4.0","2054"
"177","3.0","3.0","8","10","77","4.0","3.0","165","4.0","2054"
"178","3.0","3.0","8","10","77","4.0","3.0","166","4.0","2054"
"179","3.0","3.0","8","10","78","4.0","3.0","167","4.0","2054"
"180","3.0","3.0","8","10","78","4.0","3.0","168","4.0","2054"
"181","3.0","3.0","8","10","78","4.0","3.0","169","4.0","2054"
"182","3.0","3.0","8","10","78","4.0","3.0","170","4.0","2054"
"183","3.0","3.0","8","10","78","4.0","3.0","171","4.0","2054"
"184","3.0","3.0","8","10","79","4.0","3.0","172","4.0","2054"
"185","3.0","3.0","8","10","79","4.0","3.0","173","4.0","2054"
"186","3.0","3.0","8","10","80","4.0","3.0","174","4.0","2054"
"187","3.0","3.0","8","10","80","4.0","3.0","175","4.0","2054"
"188","3.0","3.0","8","10","81","4.0","3.0","176","4.0","2054"
"189","3.0","3.0","8","10","81","4.0","3.0","177","4.0","2054"
"190","3.0","3.0","8","10","82","4.0","3.0","178","4.0","2054"
"191","3.0","3.0","8","10","82","4.0","3.0","179","4.0","2054"
"192","3.0","3.0","8","10","82","4.0","3.0","180","4.0","2054"
"193","3.0","3.0","8","10","82","4.0","3.0","181","4.0","2054"
"194","3.0","3.0","8","10","83","4.0","3.0","182","4.0","2054"
"195","3.0","3.0","8","10","83","4.0","3.0","183","4.0","2054"
"196","3.0","3.0","8","10","84","4.0","3.0","184","4.0","2054"
"197","3.0","3.0","8","10","84","4.0","3.0","185","4.0","2054"
"198","3.0","3.0","8","10","85","4.0","3.0","186","4.0","2054"
"199","3.0","3.0","8","10","85","4.0","3.0","187","4.0","2054"
"200","3.0","3.0","8","10","85","4.0","3.0","188","4.0","2054"
"201","3.0","3.0","8","10","85","4.0","3.0","189","4.0","2054"
"202","3.0","3.0","8","10","85","4.0","3.0","190","4.0","2054"
"203","3.0","3.0","8","10","86","4.0","3.0","191","4.0","2054"
"204","3.0","3.0","8","10","86","4.0","3.0","192","4.0","2054"
"205","3.0","3.0","8","10","86","4.0","3.0","193","4.0","2054"
"206","3.0","3.0","8","10","86","4.0","3.0","194","4.0","2054"
"207","3.0","3.0","8","10","87","4.0","3.0","195","4.0","2054"
"208","3.0","3.0","8","10","87","4.0","3.0","196","4.0","2054"
"209","3.0","3.0","8","10","87","4.0","3.0","197","4.0","2054"
"210","3.0","3.0","8","10","87","4.0","3.0","198","4.0","2054"
"211","3.0","3.0","8","10","87","4.0","3.0","199","4.0","2054"
"212","3.0","3.0","8","10","88","4.0","3.0","200","4.0","2054"
"213","3.0","3.0","8","10","88","4.0","3.0","201","4.0","2054"
"214","3.0","3.0","8","10","89","4.0","3.0","202","4.0","2054"
"215","3.0","3.0","8","10","89","4.0","3.0","203","4.0","2054"
"216","3.0","3.0","8","10","89","4.0","3.0","204","4.0","2054"
"217","3.0","3.0","8","10","90","4.0","3.0","205","4.0","2054"
"218","3.0","3.0","8","10","91","4.0","3.0","206","4.0","2054"
"219","3.0","3.0","8","10","91","4.0","3.0","207","4.0","2054"
"220","3.0","3.0","8","10","91","4.0","3.0","208","4.0","2054"
"221","3.0","3.0","8","10","91","4.0","3.0","209","4.0","2054"
"222","3.0","3.0","8","10","93","4.0","3.0","210","4.0","2054"
"223","3.0","3.0","8","10","94","4.0","3.0","211","4.0","2054"
"224","3.0","3.0","8","10","94","4.0","3.0","212","4.0","2054"
"225","3.0","3.0","8","10","95","4.0","3.0","213","4.0","2054"
"226","3.0","3.0","8","10","96","4.0","3.0","214","4.0","2054"
"227","3.0","3.0","8","10","97","4.0","3.0","215","4.0","2054"
"228","3.0","3.0","8","10","97","4.0","3.0","216","4.0","2054"
"229","3.0","3.0","8","10","97","4.0","3.0","217","4.0","2054"
"230","3.0","3.0","8","10","98","4.0","3.0","218","4.0","2054"
"231","3.0","3.0","8","10","101","4.0","3.0","219","4.0","2054"
"232","3.0","3.0","8","10","102","4.0","3.0","220","4.0","2054"
"233","3.0","3.0","8","10","102","4.0","3.0","221","4.0","2054"
"234","3.0","3.0","8","10","102","4.0","3.0","222","4.0","2054"
"235","3.0","3.0","8","10","103","4.0","3.0","223","4.0","2054"
"236","3.0","3.0","8","10","103","4.0","3.0","224","4.0","2054"
"237","3.0","3.0","8","10","103","4.0","3.0","225","4.0","2054"
"238","3.0","3.0","8","10","103","4.0","3.0","226","4.0","2054"
"239","3.0","3.0","8","10","104","4.0","3.0","227","4.0","2054"
"240","3.0","3.0","8","10","104","4.0","3.0","228","4.0","2054"
"241","3.0","3.0","8","10","104","4.0","3.0","229","4.0","2054"
"242","3.0","3.0","8","10","104","4.0","3.0","230","4.0","2054"
"243","3.0","3.0","8","10","104","4.0","3.0","231","4.0","2054"
"244","3.0","3.0","8","10","105","4.0","3.0","232","4.0","2054"
"245","3.0","3.0","8","10","105","4.0","3.0","233","4.0","2054"
"246","3.0","3.0","8","10","106","4.0","3.0","234","4.0","2054"
"247","3.0","3.0","8","10","107","4.0","3.0","235","4.0","2054"
"248","3.0","3.0","8","10","107","4.0","3.0","236","4.0","2054"
"249","3.0","3.0","8","10","108","4.0","3.0","237","4.0","2054"
"250","3.0","3.0","8","10","108","4.0","3.0","238","4.0","2054"
"251","3.0","3.0","8","10","110","4.0","3.0","239","4.0","2054"
"252","3.0","3.0","8","10","111","4.0","3.0","240","4.0","2054"
"253","3.0","3.0","8","10","111","4.0","3.0","241","4.0","2054"
"254","3.0","3.0","8","10","114","4.0","3.0","242","4.0","2054"
"255","3.0","3.0","8","10","114","4.0","3.0","243","4.0","2054"
"256","3.0","3.0","8","10","115","4.0","3.0","244","4.0","2054"
"257","3.0","3.0","8","10","117","4.0","3.0","245","4.0","2054"
"258","3.0","3.0","8","10","117","4.0","3.0","246","4.0","2054"
"259","3.0","3.0","8","10","119","4.0","3.0","247","4.0","2054"
"260","3.0","3.0","8","10","119","4.0","3.0","248","4.0","2054"
"261","3.0","3.0","8","10","120","4.0","3.0","249","4.0","2054"
"262","3.0","3.0","8","10","120","4.0","3.0","250","4.0","2054"
"263","3.0","3.0","8","10","120","4.0","3.0","251","4.0","2054"
"264","3.0","3.0","8","10","122","4.0","3.0","252","4.0","2054"
"265","3.0","3.0","8","10","122","4.0","3.0","253","4.0","2054"
"266","3.0","3.0","8","10","122","4.0","3.0","254","4.0","2054"
"267","3.0","3.0","8","10","125","4.0","3.0","255","4.0","2054"
"268","3.0","3.0","8","10","125","4.0","3.0","256","4.0","2054"
"269","3.0","3.0","8","10","125","4.0","3.0","257","4.0","2054"
"270","3.0","3.0","8","10","125","4.0","3.0","258","4.0","2054"
"271","3.0","3.0","8","10","126","4.0","3.0","259","4.0","2054"
"272","3.0","3.0","8","10","126","4.0","3.0","260","4.0","2054"
"273","3.0","3.0","8","10","126","4.0","3.0","261","4.0","2054"
"274","3.0","3.0","8","10","126","4.0","3.0","262","4.0","2054"
"275","3.0","3.0","8","10","126","4.0","3.0","263","4.0","2054"
"276","3.0","3.0","8","10","127","4.0","3.0","264","4.0","2054"
"277","3.0","3.0","8","10","127","4.0","3.0","265","4.0","2054"
"278","3.0","3.0","8","10","127","4.0","3.0","266","4.0","2054"
"279","3.0","3.0","8","10","128","4.0","3.0","267","4.0","2054"
"280","3.0","3.0","8","10","129","4.0","3.0","268","4.0","2054"
"281","3.0","3.0","8","10","130","4.0","3.0","269","4.0","2054"
"282","3.0","3.0","8","10","131","4.0","3.0","270","4.0","2054"
"283","3.0","3.0","8","10","131","4.0","3.0","271","4.0","2054"
"284","3.0","3.0","8","10","132","4.0","3.0","272","4.0","2054"
"285","3.0","3.0","8","10","132","4.0","3.0","273","4.0","2054"
"286","3.0","3.0","8","10","132","4.0","3.0","274","4.0","2054"
"287","3.0","3.0","8","10","133","4.0","3.0","275","4.0","2054"
"288","3.0","3.0","8","10","133","4.0","3.0","276","4.0","2054"
"289","3.0","3.0","8","10","133","4.0","3.0","277","4.0","2054"
"290","3.0","3.0","8","10","134","4.0","3.0","278","4.0","2054"
"291","3.0","3.0","8","10","135","4.0","3.0","279","4.0","2054"
"292","3.0","3.0","8","10","136","4.0","3.0","280","4.0","2054"
"293","3.0","3.0","8","10","136","4.0","3.0","281","4.0","2054"
"294","3.0","3.0","8","10","137","4.0","3.0","282","4.0","2054"
"295","3.0","3.0","8","10","137","4.0","3.0","283","4.0","2054"
"296","3.0","3.0","8","10","138","4.0","3.0","284","4.0","2054"
"297","3.0","3.0","8","10","138","4.0","3.0","285","4.0","2054"
"298","3.0","3.0","8","10","138","4.0","3.0","286","4.0","2054"
"299","3.0","3.0","8","10","139","4.0","3.0","287","4.0","2054"
"300","3.0","3.0","8","10","140","4.0","3.0","288","4.0","2054"
"301","3.0","3.0","8","10","140","4.0","3.0","289","4.0","2054"
"302","3.0","3.0","8","10","140","4.0","3.0","290","4.0","2054"
"303","3.0","3.0","8","10","144","4.0","3.0","291","4.0","2054"
"304","3.0","3.0","8","10","144","4.0","3.0","292","4.0","2054"
"305","3.0","3.0","8","10","145","4.0","3.0","293","4.0","2054"
"306","3.0","3.0","8","10","147","4.0","3.0","294","4.0","2054"
"307","3.0","3.0","8","10","149","4.0","3.0","295","4.0","2054"
"308","3.0","3.0","8","10","152","4.0","3.0","296","4.0","2054"
"309","3.0","3.0","8","10","152","4.0","3.0","297","4.0","2054"
"310","3.0","3.0","8","10","154","4.0","3.0","298","4.0","2054"
"311","3.0","3.0","8","10","155","4.0","3.0","299","4.0","2054"
"312","3.0","3.0","8","10","155","4.0","3.0","300","4.0","2054"
"313","3.0","3.0","8","10","155","4.0","3.0","301","4.0","2054"
"314","3.0","3.0","8","10","156","4.0","3.0","302","4.0","2054"
"315","3.0","3.0","8","10","156","4.0","3.0","303","4.0","2054"
"316","3.0","3.0","8","10","156","4.0","3.0","304","4.0","2054"
"317","3.0","3.0","8","10","156","4.0","3.0","305","4.0","2054"
"318","3.0","3.0","8","10","156","4.0","3.0","306","4.0","2054"
"319","3.0","3.0","8","10","157","4.0","3.0","307","4.0","2054"
"320","3.0","3.0","8","10","159","4.0","3.0","308","4.0","2054"
"321","3.0","3.0","8","10","160","4.0","3.0","309","4.0","2054"
"322","3.0","3.0","8","10","161","4.0","3.0","310","4.0","2054"
"323","3.0","3.0","8","10","161","4.0","3.0","311","4.0","2054"
"324","3.0","3.0","8","10","162","4.0","3.0","312","4.0","2054"
"325","3.0","3.0","8","10","164","4.0","3.0","313","4.0","2054"
"326","3.0","3.0","8","10","164","4.0","3.0","314","4.0","2054"
"327","3.0","3.0","8","10","164","4.0","3.0","315","4.0","2054"
"328","3.0","3.0","8","10","165","4.0","3.0","316","4.0","2054"
"329","3.0","3.0","8","10","165","4.0","3.0","317","4.0","2054"
"330","3.0","3.0","8","10","166","4.0","3.0","318","4.0","2054"
"331","3.0","3.0","8","10","167","4.0","3.0","319","4.0","2054"
"332","3.0","3.0","9","10","168","4.0","3.0","320","4.0","2054"
"333","3.0","3.0","9","10","168","4.0","3.0","321","4.0","2054"
"334","3.0","3.0","9","10","168","4.0","3.0","322","4.0","2054"
"335","3.0","3.0","9","10","170","4.0","3.0","323","4.0","2054"
"336","3.0","3.0","9","10","170","4.0","3.0","324","4.0","2054"
"337","3.0","3.0","9","10","170","4.0","3.0","325","4.0","2054"
"338","3.0","3.0","9","10","171","4.0","3.0","326","4.0","2054"
"339","3.0","3.0","9","10","172","4.0","3.0","327","4.0","2054"
"340","3.0","3.0","9","10","173","4.0","3.0","328","4.0","2054"
"341","3.0","3.0","9","10","173","4.0","3.0","329","4.0","2054"
"342","3.0","3.0","9","10","174","4.0","3.0","330","4.0","2054"
"343","3.0","3.0","9","10","174","4.0","3.0","331","4.0","2054"
"344","3.0","3.0","9","10","175","4.0","3.0","332","4.0","2054"
"345","3.0","3.0","9","10","175","4.0","3.0","333","4.0","2054"
"346","3.0","3.0","9","10","176","4.0","3.0","334","4.0","2054"
"347","3.0","3.0","9","10","176","4.0","3.0","335","4.0","2054"
"348","3.0","3.0","9","10","176","4.0","3.0","336","4.0","2054"
"349","3.0","3.0","9","10","177","4.0","3.0","337","4.0","2054"
"350","3.0","3.0","9","10","177","4.0","3.0","338","4.0","2054"
"351","3.0","3.0","9","10","177","4.0","3.0","339","4.0","2054"
"352","3.0","3.0","9","10","178","4.0","3.0","340","4.0","2054"
"353","3.0","3.0","9","10","179","4.0","3.0","341","4.0","2054"
"354","3.0","3.0","9","10","179","4.0","3.0","342","4.0","2054"
"355","3.0","3.0","9","10","179","4.0","3.0","343","4.0","2054"
"356","3.0","3.0","9","10","179","4.0","3.0","344","4.0","2054"
"357","3.0","3.0","9","10","180","4.0","3.0","345","4.0","2054"
"358","3.0","3.0","9","10","180","4.0","3.0","346","4.0","2054"
"359","3.0","3.0","9","10","181","4.0","3.0","347","4.0","2054"
"360","3.0","3.0","9","10","181","4.0","3.0","348","4.0","2054"
"361","3.0","3.0","9","10","181","4.0","3.0","349","4.0","2054"
"362","3.0","3.0","9","10","181","4.0","3.0","350","4.0","2054"
"363","3.0","3.0","9","10","182","4.0","3.0","351","4.0","2054"
"364","3.0","3.0","9","10","182","4.0","3.0","352","4.0","2054"
"365","3.0","3.0","9","10","183","4.0","3.0","353","4.0","2054"
"366","3.0","3.0","9","10","183","4.0","3.0","354","4.0","2054"
"367","3.0","3.0","9","10","184","4.0","3.0","355","4.0","2054"
"368","3.0","3.0","9","10","184","4.0","3.0","356","4.0","2054"
"369","3.0","3.0","9","10","186","4.0","3.0","357","4.0","2054"
"370","3.0","3.0","9","10","188","4.0","3.0","358","4.0","2054"
"371","3.0","3.0","9","10","188","4.0","3.0","359","4.0","2054"
"372","3.0","3.0","9","10","189","4.0","3.0","360","4.0","2054"
"373","3.0","3.0","9","10","192","4.0","3.0","361","4.0","2054"
"374","3.0","3.0","9","10","192","4.0","3.0","362","4.0","2054"
"375","3.0","3.0","9","10","192","4.0","3.0","363","4.0","2054"
"376","3.0","3.0","9","10","193","4.0","3.0","364","4.0","2054"
"377","3.0","3.0","9","10","194","4.0","3.0","365","4.0","2054"
"378","3.0","3.0","9","10","194","4.0","3.0","366","4.0","2054"
"379","3.0","3.0","9","10","197","4.0","3.0","367","4.0","2054"
"380","3.0","3.0","9","10","198","4.0","3.0","368","4.0","2054"
"381","3.0","3.0","9","10","198","4.0","3.0","369","4.0","2054"
"382","3.0","3.0","9","10","198","4.0","3.0","370","4.0","2054"
"383","3.0","3.0","9","10","199","4.0","3.0","371","4.0","2054"
"384","3.0","3.0","9","10","199","4.0","3.0","372","4.0","2054"
"385","3.0","3.0","9","10","199","4.0","3.0","373","4.0","2054"
"386","3.0","3.0","9","10","199","4.0","3.0","374","4.0","2054"
"387","3.0","3.0","9","10","199","4.0","3.0","375","4.0","2054"
"388","3.0","3.0","9","10","200","4.0","3.0","376","4.0","2054"
"389","3.0","3.0","9","10","201","4.0","3.0","377","4.0","2054"
"390","3.0","3.0","9","10","201","4.0","3.0","378","4.0","2054"
"391","3.0","3.0","9","10","202","4.0","3.0","379","4.0","2054"
"392","3.0","3.0","9","10","203","4.0","3.0","380","4.0","2054"
"393","3.0","3.0","9","10","203","4.0","3.0","381","4.0","2054"
"394","3.0","3.0","9","10","203","4.0","3.0","382","4.0","2054"
"395","3.0","3.0","9","10","203","4.0","3.0","383","4.0","2054"
"396","3.0","3.0","9","10","204","4.0","3.0","384","4.0","2054"
"397","3.0","3.0","9","10","204","4.0","3.0","385","4.0","2054"
